F10,F11,F2,F3,F4,F5,F6,F7,F8,Current Victorian Liquor Licences for Metro & CBD as of 31/12/2020,F9
MELBOURNE CITY COUNCIL,ASCENTS HOTEL PTY LTD,Late night (general) Licence,THE WESTIN MELBOURNE,205 COLLINS STREET,MELBOURNE,3000,205 COLLINS STREET,MELBOURNE,31950567,3000
MELBOURNE CITY COUNCIL,THE MINT BAR PTY LTD,Late night (general) Licence,THE MINT RESTAURANT AND WINE BAR,280-318 WILLIAM STREET,MELBOURNE,3000,PO BOX 13160                                       LAW COURTS POST OFFICE,MELBOURNE,31950664,3000
MELBOURNE CITY COUNCIL,AMTB PTY LTD,Late night (general) Licence,THE KEY CLUB,LEVEL 2                                            117-121 LONSDALE STREET,MELBOURNE,3000,PO BOX 3083,NEWTOWN,31950737,3220
MELBOURNE CITY COUNCIL,CHRISTOPOULOS CONSTANTINE,Late night (general) Licence,THE EUROPEAN,159-161 SPRING STREET,MELBOURNE,3000,159-161 SPRING STREET,MELBOURNE,31950761,3000
MELBOURNE CITY COUNCIL,SAVILLE HOTEL GROUP PTY LTD,General Licence,MANTRA ON RUSSELL,210 - 222 RUSSELL STREET,MELBOURNE,3000,PO BOX 8016,GOLD COAST MAIL CENTRE,31950818,9726
MELBOURNE CITY COUNCIL,APARTMENTS AT MELBOURNE PTY LTD,General Licence,TREASURY ON COLLINS,394 COLLINS STREET,MELBOURNE,3000,2/394 COLLINS STREET,MELBOURNE,31950923,3000
MELBOURNE CITY COUNCIL,SEVENTH GRANGE PTY LTD,Late night (general) Licence,KICKS,450 ELIZABETH STREET,MELBOURNE,3000,113 QUEEN STREET,MELNOURNE,31950999,3000
MELBOURNE CITY COUNCIL,ISAKAYA ENTERPRISES PTY LTD,General Licence,NAMA NAMA AND HIHOU,31 SPRING STREET,MELBOURNE,3000,31 SPRING STREET,MELBOURNE,31951018,3000
MELBOURNE CITY COUNCIL,BONC PTY LTD,General Licence,THE BANK ON COLLINS,GROUND FLOOR                                       394 COLLINS STREET,MELBOURNE,3000,PO BOX 2210,ST KILDA WEST,31951076,3182
MELBOURNE CITY COUNCIL,LONG ROOM ENTERTAINMENT PTY LTD,Late night (general) Licence,THE GEORGE ON COLLINS,162-168 COLLINS STREET,MELBOURNE,3000,162-168 COLLINS STREET,MELBOURNE,31951123,3000
MELBOURNE CITY COUNCIL,SAEMAUL AUSTRALIA PTY LTD,General Licence,PAIK'S BBQ,523-525 LITTLE LONSDALE STREET,MELBOURNE,3000,525 LITTLE LONSDALE STREET,MELBOURNE,31951204,3000
MELBOURNE CITY COUNCIL,VALENTINO VARGETTO PTY LTD,General Licence,MASSI VECCHIA OSTERIA E CAFE,SHOP 4/422 COLLINS STREET,MELBOURNE,3000,445 LITTLE COLLINS STREET,MELBOURNE,31951335,3000
MELBOURNE CITY COUNCIL,8TH BROOKLYN & CO HOSPITALITY GROUP PTY LTD,Late night (general) Licence,THE SOUK KITCHEN AND BAR,13 BLIGH PLACE,MELBOURNE,3000,1 HOSIER LANE,MELBOURNE,31951369,3000
MELBOURNE CITY COUNCIL,BEER DELUXE PTY LTD,Late night (general) Licence,BEER DE LUXE,"L1 T003, LG T003, T006C                            FEDERATION SQUARE, FLINDERS STREET",MELBOURNE,3000,"AUSTRALIAN VENUE CO                                LEVEL 3, 616 ST KILDA ROAD",MELBOURNE SOUTH,31951416,3004
MELBOURNE CITY COUNCIL,JDSH 1838 PTY LTD,Late night (general) Licence,AMIGOS HARDWARE LANE,75-77 HARDWARE LANE,MELBOURNE,3000,75-77 HARDWARE LANE,MELBOURNE,31951466,3000
MELBOURNE CITY COUNCIL,LEONARDS CHRIS JAMES,Late night (general) Licence,PLATFORM,"VAULTS 7 & 8, BANANA ALLEY VAULTS                  FLINDERS STREET",MELBOURNE,3000,"VAULTS 7 & 8, BANANA ALLEY VAULTS                  FLINDERS STREET",MELBOURNE,31951474,3000
MELBOURNE CITY COUNCIL,IDARTS QV PTY LTD,Late night (general) Licence,I DARTS HIVE,LEVEL 2 QV                                         243 LITTLE LONSDALE STREET,MELBOURNE,3000,LEVEL 2 QV                                         243 LITTLE LONSDALE STREET,MELBOURNE,31951547,3000
MELBOURNE CITY COUNCIL,TRANSIT PTY LTD,Late night (general) Licence,TRANSPORT HOTEL,"T024, FEDERATION SQUARE                            CORNER FLINDERS & SWANSTON STREETS",MELBOURNE,3000,PO BOX 100                                         FLINDERS LANE,MELBOURNE,31951597,8009
MELBOURNE CITY COUNCIL,KHATTRA ASSETS PTY LTD,General Licence,SCHNITZ,QS002 QV MELBOURNE                                 CNR SWANSTON AND LONSDALE STREETS,MELBOURNE,3000,QS002                                              28 ARTEMIS LANE,MELBOURNE,31951694,3000
MELBOURNE CITY COUNCIL,NO WORRIEZ PTY LTD,Late night (general) Licence,CLIQUE BAR,LEVEL 1                                            26-32 KING STREET,MELBOURNE,3000,LEVEL 1                                            26-32 KING STREET,MELBOURNE,31951775,3000
MELBOURNE CITY COUNCIL,MAMA'S BUOI GPO PTY LTD,General Licence,MAMA'S BUOI GPO,"TENANCY G25, GPO DEVELOPMENT                       188-218 ELIZABETH STREET",MELBOURNE,3000,"TENANCY G25, GPO DEVELOPMENT                       188-218 ELIZABETH STREET",MELBOURNE,31951937,3000
MELBOURNE CITY COUNCIL,NINTH GRANGE PTY LTD,Late night (general) Licence,CITICLUB HOTEL,111-129 QUEEN STREET,MELBOURNE,3000,113 QUEEN STREET,MELBOURNE,31951987,3000
MELBOURNE CITY COUNCIL,BLACK PANTHER INVESTMENTS PTY LTD,Late night (general) Licence,MS COLLINS,GROUND FLOOR                                       425 COLLINS STREET,MELBOURNE,3000,ATTEN: TONY PERNA                                  425 COLLINS STREET,MELBOURNE,31952048,3000
MELBOURNE CITY COUNCIL,MH MANAGEMENT (VIC) PTY LTD,General Licence,OAKS MELBOURNE ON MARKET HOTEL,GROUND FLOOR AND LEVELS 1 TO 21                    54-60 MARKET STREET,MELBOURNE,3000,PO BOX 473,COTTON TREE QLD,31952234,4558
MELBOURNE CITY COUNCIL,SXS PUBLIC BAR PTY LTD,General Licence,NETWORK PUBLIC BAR AND PIZZERIA,"POD B, SOUTHERN CROSS STATION                      99 SPENCER STREET",MELBOURNE,3000,"POD B, SOUTHERN CROSS STATION                      99 SPENCER STREET",MELBOURNE,31952276,3000
MELBOURNE CITY COUNCIL,CHRISTOPOULOS CONSTANTINE,General Licence,NEAPOLI WINE BAR,30 RUSSELL PLACE,MELBOURNE,3000,30 RUSSELL PLACE,MELBOURNE,31953963,3000
MELBOURNE CITY COUNCIL,ORGANIC SPRING PTY LTD,General Licence,SPRING STREET GROCERY,157 SPRING STREET,MELBOURNE,3000,157 SPRING STREET,MELBOURNE,31954456,3000
MELBOURNE CITY COUNCIL,THE CANTEEN BY HS PTY LTD,General Licence,SWEET CANTEEN,3 DRIVER LANE,MELBOURNE,3000,3 DRIVER LANE,MELBOURNE,31954464,3000
MELBOURNE CITY COUNCIL,DFTNA MEL PTY LTD,General Licence,SHERATON MELBOURNE,27 LITTLE COLLINS STREET,MELBOURNE,3000,27 LITTLE COLLINS STREET,MELBOURNE,31954600,3000
MELBOURNE CITY COUNCIL,FAMOUS FOUR PTY LTD,General Licence,CHUCKLE DELI,SHOP 5 HUB ARCADE                                  318-322 LITTLE COLLINS STREET,MELBOURNE,3000,LEVEL 2 318-322 LITTLE COLLINS STREET              318-322 LITTLE COLLINS STREET,MELBOURNE,31954773,3000
MELBOURNE CITY COUNCIL,RESORT MANAGEMENT BY WYNDHAM PTY LTD,General Licence,WYNDHAM ON WILLIAM MELBOURNE,189-203 WILLIAM STREET,MELBOURNE,3000,189-203 WILLIAM STREET,MELBOURNE,31954951,3000
MELBOURNE CITY COUNCIL,SAVILLE HOTEL GROUP PTY LTD,General Licence,PEPPERS DOCKLANDS HOTEL,679 LA TROBE STREET,MELBOURNE,3008,PO BOX 8016,GOLD COAST MAIL CENTRE,31955525,9726
MELBOURNE CITY COUNCIL,OPEN DOOR PUB CO. PTY LTD,General Licence,DUKE OF WELLINGTON,146 FLINDERS STREET,MELBOURNE,3000,"AUSTRALIAN VENUE CO                                LEVEL 3, 616 ST KILDA ROAD",MELBOURNE,31955567,3004
MELBOURNE CITY COUNCIL,LUCY ENTERPRISES PTY LTD,General Licence,BANK PLACE FOOD STORE,433 LITTLE COLLINS STREET,MELBOURNE,3000,433 LITTLE COLLINS STREET,MELBOURNE,31955753,3000
MELBOURNE CITY COUNCIL,MERCHANT AT RIALTO PTY LTD,General Licence,MERCHANT OSTERIA VENETA,SHOP 2                                             487-503 COLLINS STREET,MELBOURNE,3000,80 BOURKE STREET,MELBOURNE,31955850,3000
MELBOURNE CITY COUNCIL,RE WINES PTY LTD,General Licence,RE WINES,"A SHED, 27-29 & W85-86                             QUEEN VICTORIA MARKET, 65-159 VICTORIA STREET",MELBOURNE,3000,PO BOX 601,NORTH MELBOURNE,31955973,3051
MELBOURNE CITY COUNCIL,SANDO PROJECT PTY LTD,General Licence,MEET SANDO,507 ELIZABETH ST,MELBOURNE,3000,30 WETLANDS BOULEVARD,WILLIAMS LANDING,31956076,3027
MELBOURNE CITY COUNCIL,QT HOTELS AND RESORTS PTY LTD,Late night (general) Licence,QT MELBOURNE,131-141 RUSSELL STREET,MELBOURNE,3000,478 GEORGE STREET,SYDNEY NSW,31956115,2000
MELBOURNE CITY COUNCIL,PUNTHILL 500 FLINDERS PTY LTD,General Licence,MINI BAR,556-560 FLINDERS STREET,MELBOURNE,3000,101/7 YARRA STREET,SOUTH YARRA,31956149,3141
MELBOURNE CITY COUNCIL,L'OMBRE PTY LTD,Late night (general) Licence,CUMULUS EATING HOUSE & BAR,45 FLINDERS LANE,MELBOURNE,3000,45 FLINDERS LANE,MELBOURNE,31956165,3000
MELBOURNE CITY COUNCIL,ASTONMILL PTY LTD,Late night (general) Licence,MAIL EXCHANGE HOTEL,NORTH EAST CORNER                                  BOURKE AND SPENCER STREETS,MELBOURNE,3008,688 BOURKE STREET,MELBOURNE,31956327,3000
MELBOURNE CITY COUNCIL,CITADINES MELBOURNE ON BOURKE PTY LTD,General Licence,CITADINES MELBOURNE ON BOURKE,131-135 BOURKE STREET,MELBOURNE,3000,131-135 BOURKE STREET,MELBOURNE,31956416,3000
MELBOURNE CITY COUNCIL,TOP HAT LIQUOR SUPPLIES PTY LTD,General Licence,OMBRA,76 BOURKE STREET,MELBOURNE,3000,76 BOURKE STREET,MELBOURNE,31956458,3000
MELBOURNE CITY COUNCIL,CALIA AUSTRALIA PTY LTD,General Licence,CALIA AUSTRALIA,"GRND, MEZZ, FIRST FLOORS T G-031A                  EMPORIUM MELBOURNE, 287 LONSDALE STREET",MELBOURNE,3000,"GRND, MEZZ, FIRST FLOORS T G-031A                  EMPORIUM MELBOURNE, 287 LONSDALE STREET",MELBOURNE,31956490,3000
MELBOURNE CITY COUNCIL,BEER WINE AND PASTA PTY LTD,General Licence,BIRD'S UPSTAIRS,"GROUND FLOOR AND MEZZANINE LEVEL,                  LOT 1R, GROUND LEVEL, 350 WILLIAM STREET",MELBOURNE,3000,"SUITE 836, LEVEL 8                                 1 QUEENS ROAD",MELBOURNE,31956864,3000
MELBOURNE CITY COUNCIL,PEACOCK & PARROT PTY LTD,General Licence,MRS SINGH,88 FLINDERS LANE,MELBOURNE,3000,88 FLINDERS LANE,MELBOURNE,31956961,3000
MELBOURNE CITY COUNCIL,MOVIDA PTY LTD,Late night (general) Licence,TRES A CINCO,3-5 HOSIER LANE,MELBOURNE,3000,1 HOSIER LANE,MELBOURNE,31957404,3000
MELBOURNE CITY COUNCIL,HAYMAN ENTERPRISES PTY LTD,General Licence,MELBOURNE WHISKY ROOM,"LEVEL 1, 270A RUSSELL STREET",MELBOURNE,3000,"LEVEL 1, 270A RUSSELL STREET",MELBOURNE,31957470,3000
MELBOURNE CITY COUNCIL,MOTOFOOD PTY LTD,General Licence,IZAKAYA HACHIBEH,143-145 BOURKE STREET,MELBOURNE,3000,143-145 BOURKE STREET,MELBOURNE,31957543,3000
MELBOURNE CITY COUNCIL,KATHERINE PLACE PTY LTD,General Licence,THATABOY,19 KATHERINE PLACE,MELBOURNE,3000,6 ASHLEIGH ROAD,ARMADALE,31957616,3143
MELBOURNE CITY COUNCIL,THE WINE AGENCY PTY LTD,General Licence,THE MELBOURNE WINE STORE,"SHOP 3, 397 ST KILDA ROAD",MELBOURNE,3004,"SHOP 3, 397 - 401 ST KILDA ROAD",MELBOURNE,31957682,3004
MELBOURNE CITY COUNCIL,AAA INTERNATIONAL AUSTRALIA PTY LTD,General Licence,CURRY VAULT INDIAN RESTAURANT AND BAR,BASEMENT                                           18-20 BANK PLACE,MELBOURNE,3000,BASEMENT                                           18-20 BANK PLACE,MELBOURNE,31957690,3000
MELBOURNE CITY COUNCIL,WELL SMART INVESTMENT HOLDING (AUST) PTY LTD,General Licence,NOVOTEL MELBOURNE CENTRAL,399 LITTLE LONSDALE STREET,MELBOURNE,3000,NOVOTEL & IBIS MELBOURNE CENTRAL                   399 LITTLE LONSDALE ST,MELBOURNE,31957739,3000
MELBOURNE CITY COUNCIL,MAHONY SCHOLARS PTY LTD,General Licence,THE OXFORD SCHOLAR HOTEL,427 SWANSTON STREET,MELBOURNE,3000,427 SWANSTON STREET,MELBOURNE,31957991,3000
MELBOURNE CITY COUNCIL,LIMINAL MELBOURNE PTY LTD,General Licence,LIMINAL MELBOURNE,PART OF GROUND FLOOR                               161 COLLINS STREET,MELBOURNE,3000,LIMINAL CAFE - GROUND FLOOR                        161 COLLINS STREET,MELBOURNE,31958183,3000
MELBOURNE CITY COUNCIL,401 GROUND PTY LTD,General Licence,NATURAL HISTORY,401 COLLINS STREET,MELBOURNE,3000,LVEL 16                                            414 LA TROBE STREET,MELBOURNE,31958264,3000
MELBOURNE CITY COUNCIL,EP 21 PTY LIMITED,General Licence,HILTON MELBOURNE LITTLE QUEEN STREET,18 LITTLE QUEEN STREET,MELBOURNE,3000,18 LITTLE QUEEN STREET,MELBOURNE,31958688,3000
MELBOURNE CITY COUNCIL,GROUND FLOOR OPPORTUNITY PTY LYD,General Licence,SMALLGOOD TRADING CO,132 LITTLE LONSDALE ST,MELBOURNE,3000,3-9 LITTLE HOWARD STREET,NORTH MELBOURNE,31958769,3051
MELBOURNE CITY COUNCIL,MEDINA PROPERTY SERVICES PTY LTD,General Licence,VIBE HOTEL MELBOURNE,1 QUEEN ST,MELBOURNE,3000,PO BOX 1745,"STRAWBERRY HILLS, NSW",31958840,2012
MELBOURNE CITY COUNCIL,DAISHO DEVELOPMENT MELBOURNE PTY LTD,Late night (general) Licence,W MELBOURNE,408 FLINDERS LANE,MELBOURNE,3000,408 FLINDERS LANE,MELBOURNE,31958939,3000
MELBOURNE CITY COUNCIL,WMM PTY LTD,General Licence,HOTEL ANIMAL,204 KING ST,MELBOURNE,3000,C/- AICHER PARTNERS                                LEVEL 1 237 LOWER HEIDELBERG ROAD,IVANHOE,31959082,3079
MELBOURNE CITY COUNCIL,BAR ESPRESSO AP PTY LTD,General Licence,BAR ESPRESSO AP,"GROUND LEVEL, 9 BOWEN CRESCENT",MELBOURNE,3004,"LEVEL 1, 322 GLENFERRIE ROAD",MALVERN,31959202,3144
MELBOURNE CITY COUNCIL,NEXT HOTELS (80 COLLINS) PTY LTD,General Licence,NEXT HOTEL MELBOURNE,80 COLLINS STREET,MELBOURNE,3000,"BUILDING 12, THE MILL-KAFNU                        41-45 BOURKE ROAD",ALEXANDRIA,31959228,2015
MELBOURNE CITY COUNCIL,THE COMMERCIAL BAKERY PTY LTD,General Licence,THE COMMERCIAL BAKERY,REAR OF 360 LITTLE COLLINS STREET,MELBOURNE,3000,REAR OF 360 LITTLE COLLINS STREET,MELBOURNE,31959414,3000
MELBOURNE CITY COUNCIL,HAYMAN ENTERPRISES PTY LTD,General Licence,WHISKY AND ALEMENT,270 RUSSELL ST,MELBOURNE,3000,270 RUSSELL ST,MELBOURNE,31959561,3000
MELBOURNE CITY COUNCIL,BIBLIOTECHE BOTTLE STORE PTY LTD,General Licence,BIJOU BOTTLE SHOP,194 LITTLE COLLINS ST,MELBOURNE,3000,PO BOX 215,ESSENDON,31959684,3040
MELBOURNE CITY COUNCIL,WINE LOGIC PTY LTD,General Licence,THE WIGS CELLAR,172 QUEEN ST,MELBOURNE,3000,172 QUEEN ST,MELBOURNE,31959723,3000
MELBOURNE CITY COUNCIL,LIQUORLAND (AUSTRALIA) PTY LTD,Packaged Liquor Licence,VINTAGE CELLARS,SHOP 24                                            215 LITTLE BOURKE STREET,MELBOURNE,3000,PO BOX 2000,GLEN IRIS,32000242,3146
MELBOURNE CITY COUNCIL,LIQUORLAND (AUSTRALIA) PTY LTD,Packaged Liquor Licence,LIQUORLAND EXPRESS,CNR FLINDERS & ELIZABETH STREETS,MELBOURNE,3000,PO BOX 2000,GLEN IRIS,32000268,3146
MELBOURNE CITY COUNCIL,ENDEAVOUR GROUP LIMITED,Packaged Liquor Licence,"BWS - BEER, WINE, SPIRITS",QUEEN VICTORIA VILLAGE                             194-198 LONSDALE STREET,MELBOURNE,3000,ATTENTION: KAY ATTARD                              PO BOX 8000,BAULKHAM HILLS,32006646,2153
MELBOURNE CITY COUNCIL,CHERISH CORPORATION PTY LTD,Packaged Liquor Licence,SPQR,SHOP 2                                             416 QUEEN STREET,MELBOURNE,3000,416 QUEEN STREET,MELBOURNE,32051552,3000
MELBOURNE CITY COUNCIL,NANYUN PTY LTD,Packaged Liquor Licence,STAR CITY,SHOP 3 & 4                                         189-195 EXHIBITION STREET,MELBOURNE,3000,SHOP 3 & 4                                         189-195 EXHIBITION STREET,MELBOURNE,32052663,3000
MELBOURNE CITY COUNCIL,LI TONG TONG,Packaged Liquor Licence,ELIZABETH SUPERMARKET,490 ELIZABETH STREET,MELBOURNE,3000,11 BOTANIC DRIVE,DONCASTER,32053376,3108
MELBOURNE CITY COUNCIL,AUSTRALIAN LIQUOR MARKETERS PTY LTD,Packaged Liquor Licence,IGA FRESH PANTRY,90-96 SPENCER STREET,MELBOURNE,3000,90-96 SPENCER STREET,MELBOURNE,32053473,3000
MELBOURNE CITY COUNCIL,ST. BISHOY & ST SHENOUDA PTY LTD,Packaged Liquor Licence,IGA EXPRESS,85 QUEEN STREET,MELBOURNE,3000,85 QUEEN STREET,MELBOURNE,32053782,3000
MELBOURNE CITY COUNCIL,LJ NILI PTY LTD,Packaged Liquor Licence,IGA PLUS LIQUOUR EXPRESS,35-41 LONSDALE STREET,MELBOURNE,3000,35-41 LONSDALE STREET,MELBOURNE,32055580,3000
MELBOURNE CITY COUNCIL,RRMG HOLDINGS PTY LTD,Packaged Liquor Licence,CITY EXPRESS & LIQUOR,SHOP 1                                             32-38 BOURKE STREET,MELBOURNE,3000,SHOP 1                                             32-38 BOURKE STREET,MELBOURNE,32055954,3000
MELBOURNE CITY COUNCIL,L & L WING CHEONG TRADING PTY LTD,Packaged Liquor Licence,,14-22 HEFFERNAN LANE,MELBOURNE,3000,14-22 HEFFERNAN LANE,MELBOURNE,32056510,3000
MELBOURNE CITY COUNCIL,GOLDEN EDEN PTY LTD,Packaged Liquor Licence,LIQUOR DELIGHT,"LOWER FLOOR,                                       124 LITTLE BOURKE STREET",MELBOURNE,3000,"LOWER FLOOR,                                       124 LITTLE BOURKE STREET",MELBOURNE,32056641,3000
MELBOURNE CITY COUNCIL,J&M PROMO PTY LTD,Packaged Liquor Licence,ACE MART,365 LONSDALE STREET,MELBOURNE,3000,"GROUND FLOOR,                                      365 LONSDALE STREET",MELBOURNE,32056780,3000
MELBOURNE CITY COUNCIL,ALDI FOODS PTY LTD,Packaged Liquor Licence,ALDI STORES,501 SWANSTON STREET,MELBOURNE,3000,LOCKED BAG 1300,DANDENONG SOUTH,32057859,3164
MELBOURNE CITY COUNCIL,COMMERCE AUSTRALIA GROUP PTY LTD,Packaged Liquor Licence,IGA KING STREET,212-224 KING STREET,MELBOURNE,3000,"SHOP 1, 212-224 KING STREET",MELBOURNE,32058067,3000
MELBOURNE CITY COUNCIL,ENDEAVOUR GROUP LIMITED,Packaged Liquor Licence,"BWS - BEER, WINE, SPIRITS",262 FLINDERS STREET,MELBOURNE,3000,ATTN: KAY ATTARD                                   PO BOX 8000,BAULKHAM HILLS,32058596,2153
MELBOURNE CITY COUNCIL,AO JIN PTY LTD,Packaged Liquor Licence,ROYALE LIQUOR & FOOD STORE,58-62 SPENCER STREET,MELBOURNE,3000,4 OVERLAND DRIVE,VERMONT SOUTH,32058619,3133
MELBOURNE CITY COUNCIL,JENNI INTERNATIONAL PTY LTD,Packaged Liquor Licence,ASIAN GROCERIES PLUS,GROUND FLOOR                                       342 FLINDERS STREET,MELBOURNE,3000,"DAEBARK MART ASIAN GROCERY                         GROUND FLOOR, 342 FLINDERS STREET",MELBOURNE,32058952,3000
MELBOURNE CITY COUNCIL,ENDEAVOUR GROUP LIMITED,Packaged Liquor Licence,DAN MURPHY,"TENANCIES 13, 14 & 15, LEVEL 1                     QUEEN VICTORIA CENTRE",MELBOURNE,3000,ATTENTION: KAY ATTARD                              P O BOX 8000,BAULKHAM HILLS NSW,32059047,2153
MELBOURNE CITY COUNCIL,LIQUOROLOGIST PTY LTD,Packaged Liquor Licence,LIQUOROLOGIST,SHOP 4                                             440 ELIZABETH STREET,MELBOURNE,3000,825 PASCOE VALE ROAD,GLENROY,32059209,3046
MELBOURNE CITY COUNCIL,LIQUORLAND (AUSTRALIA) PTY LTD,Packaged Liquor Licence,LIQUORLAND,TENANCY 309.1 SPENCER OUTLET CENTRE                201 SPENCER STREET,MELBOURNE,3000,PO BOX 2000,GLEN IRIS,32059267,3146
MELBOURNE CITY COUNCIL,AUSSIEINDIA INVESTMENTS PTY LTD,Packaged Liquor Licence,EXHIBITION ST IGA X-PRESS,333 EXHIBITION STREET,MELBOURNE,3000,333 EXHIBITION STREET,MELBOURNE,32059851,3000
MELBOURNE CITY COUNCIL,ENDEAVOUR GROUP LIMITED,Packaged Liquor Licence,"BWS - BEER, WINE, SPIRITS",63-93 MERCHANT STREET                              VICTORIA HARBOUR,MELBOURNE,3008,ATTENTION: KAY ATTARD                              PO BOX 8000,BAULKHAM HILLS NSW,32059932,2153
MELBOURNE CITY COUNCIL,BAO BAO BANG PTY LTD,Packaged Liquor Licence,CELLARBRATIONS FLINDERS STREET,573 FLINDERS STREET,MELBOURNE,3000,7 MAY COURT,GLEN WAVERLEY,32061379,3150
MELBOURNE CITY COUNCIL,ENDEAVOUR GROUP LIMITED,Packaged Liquor Licence,BWS - BEER WINE SPIRITS,SOUTHERN CROSS STATION                             CORNER COLLINS AND SPENCER STREETS,MELBOURNE,3000,KAY ATTARD                                         PO BOX 8000,BAULKHAM HILLS NSW,32063664,2153
MELBOURNE CITY COUNCIL,HOMETOWN WORLDWIDE (AUSTRALIA) PTY LTD,Packaged Liquor Licence,HOMETOWN FOOD CENTRE,"SHOP 2, 440 ELIZABETH STREET",MELBOURNE,3000,"SHOP 2, 440 ELIZABETH STREET",MELBOURNE,32063779,3000
MELBOURNE CITY COUNCIL,LIQUORLAND (AUSTRALIA) PTY LTD,Packaged Liquor Licence,LIQUORLAND,"TENANCY LG 74, MELBOURNE CENTRAL                   LA TROBE STREET",MELBOURNE,3000,PO BOX 2000,GLEN IRIS,32063834,3146
PORT PHILLIP CITY COUNCIL,SHADI & MAY PTY LTD,Packaged Liquor Licence,URBAN EXPRESS,GROUND FLOOR                                       580 ST KILDA ROAD,MELBOURNE,3004,GROUND FLOOR                                       580 ST KILDA ROAD,MELBOURNE,32063915,3004
MELBOURNE CITY COUNCIL,CROWN ASIAN SUPERMARKET PTY LTD,Packaged Liquor Licence,CROWN ASIAN SUPERMARKET,"TENANCY 7,284-290 LATROBE STREET",MELBOURNE,3000,"TENANCY 7,284-290 LATROBE STREET",MELBOURNE,32064911,3000
MELBOURNE CITY COUNCIL,SHREEJI INTERNATIONAL PTY LTD,Packaged Liquor Licence,LIQUOR N THINGS,SHOP 3                                             7 EXHIBITION STREET,MELBOURNE,3000,35 MILLPOND DRIVE,POINT COOK,32064937,3030
MELBOURNE CITY COUNCIL,HOMETOWN WORLDWIDE (AUSTRALIA) PTY LTD,Packaged Liquor Licence,TOKYO HOMETOWN,41-45 A'BECKETT STREET,MELBOURNE,3000,41-45 A'BECKETT STREET,MELBOURNE,32065137,3000
MELBOURNE CITY COUNCIL,HENLY CO CITY PTY LTD,Packaged Liquor Licence,CITY DUTY FREE,"GROUND FLOOR, 225 BOURKE STREET",MELBOURNE,3000,"GROUND FLOOR, 225 BOURKE STREET",MELBOURNE,32065315,3000
MELBOURNE CITY COUNCIL,ORIENTAL FOOD AUSTRALIA PTY LTD,Packaged Liquor Licence,CROWN ASIAN SUPERMARKET,TENANCY T303                                       201 SPENCER STREET,MELBOURNE,3000,TENANCY T303                                       201 SPENCER STREET,MELBOURNE,32065543,3000
MELBOURNE CITY COUNCIL,AYDA PTY LTD,Packaged Liquor Licence,IGA EXPRESS COLLINS,"GROUND FLOOR                                       SHOP 3, 470 COLLINS ST",MELBOURNE,3000,"GROUND FLOOR                                       SHOP 3, 470 COLLINS STREET",MELBOURNE,32065886,3000
MELBOURNE CITY COUNCIL,ENDEAVOUR GROUP LIMITED,Packaged Liquor Licence,BWS - BEER WINE SPIRITS,60 ELIZABETH STREET,MELBOURNE,3000,POX BOX 8000,BAULKHAM HILLS,32065909,2153
MELBOURNE CITY COUNCIL,ENDEAVOUR GROUP LIMITED,Packaged Liquor Licence,"BWS - BEER, WINE, SPIRITS",388-396 ELIZABETH STREET,MELBOURNE,3000,PO BOX 8000,BAULKHAM HILLS,32066565,2153
MELBOURNE CITY COUNCIL,DANNYS DISCOUNT LIQUOR PTY. LTD.,Packaged Liquor Licence,LONSDALE CELLARS,404T/621 LONSDALE ST,MELBOURNE,3000,404T/621 LONSDALE ST,MELBOURNE,32066696,3000
MELBOURNE CITY COUNCIL,UHAN MANKEUM PTY LTD,Packaged Liquor Licence,KT LIQUOR,594-608 ELIZABETH STREET,MELBOURNE,3000,594-608 ELIZABETH STREET,MELBOURNE,32066735,3000
MELBOURNE CITY COUNCIL,URBAN HUB ENTERPRISES PTY LTD,Packaged Liquor Licence,URBAN HUB LIQUOR STORE,PART OF GROUND FLOOR                               479 ST KILDA ROAD,MELBOURNE,3004,150 GEELONG ROAD,FOOTSCRAY,32067367,3011
MELBOURNE CITY COUNCIL,HENLY CO MELBOURNE PTY LTD,Packaged Liquor Licence,GREAT ASIA FOOD STORE,PART 222-230 LITTLE BOURKE STREET                  GOLDEN SQUARE CARPARK,MELBOURNE,3000,PART 222-230 LITTLE BOURKE STREET                  GOLDEN SQUARE CARPARK,MELBOURNE,32067480,3000
